,label,density,lat,lon,clusters,spread,neighborhood
55,15,7.847499999999998,42.34402969999988,-71.099995,36,21.798611111111107,Back Bay/Fenway/Mission Hill/Longwood/South End
56,16,8.1804,42.34470109999988,-71.1011382,41,19.95219512195122,Back Bay/Fenway/Mission Hill/Longwood/South End
57,0,3.9966,42.35036749999986,-71.0565491,27,14.802222222222222,Downtown/North End/West End/Chinatown/Beacon Hill
58,1,5.9373000000000005,42.35105949999987,-71.065429,34,17.46264705882353,Downtown/North End/West End/Chinatown/Beacon Hill
59,2,0.019200000000000002,42.35645579999986,-71.0509694,2,0.9600000000000001,Downtown/North End/West End/Chinatown/Beacon Hill
60,3,0.8908,42.35422479999989,-71.0528715,12,7.423333333333333,Downtown/North End/West End/Chinatown/Beacon Hill
61,4,8.8802,42.352397599999875,-71.0550745,49,18.122857142857143,Downtown/North End/West End/Chinatown/Beacon Hill
62,5,4.4789,42.35150729999988,-71.0627741,19,23.573157894736845,Downtown/North End/West End/Chinatown/Beacon Hill
63,6,3.1238000000000006,42.35799079999987,-71.0605258,17,18.375294117647062,Downtown/North End/West End/Chinatown/Beacon Hill
64,7,3.8348000000000004,42.356380499999844,-71.0621968,15,25.565333333333335,Downtown/North End/West End/Chinatown/Beacon Hill
65,8,2.5595000000000003,42.35333659999987,-71.0641924,12,21.32916666666667,Downtown/North End/West End/Chinatown/Beacon Hill
66,9,4.275299999999999,42.36142929999987,-71.0571075,29,14.742413793103443,Downtown/North End/West End/Chinatown/Beacon Hill
67,10,1.6654,42.359658799999885,-71.0519093,22,7.569999999999999,Downtown/North End/West End/Chinatown/Beacon Hill
68,11,1.1977,42.36071419999987,-71.05582840000001,6,19.961666666666666,Downtown/North End/West End/Chinatown/Beacon Hill
69,12,3.3293000000000004,42.35927689999986,-71.0544154,18,18.496111111111116,Downtown/North End/West End/Chinatown/Beacon Hill
70,13,0.7989999999999999,42.358730599999866,-71.0567119,8,9.987499999999999,Downtown/North End/West End/Chinatown/Beacon Hill
71,14,3.6231,42.35823619999987,-71.0578024,10,36.231,Downtown/North End/West End/Chinatown/Beacon Hill
72,15,2.6621999999999995,42.35976679999986,-71.0597236,12,22.185,Downtown/North End/West End/Chinatown/Beacon Hill
73,16,0.6786,42.358391099999906,-71.07066530000002,2,33.93,Downtown/North End/West End/Chinatown/Beacon Hill
74,17,2.996,42.36420379999988,-71.0541123,19,15.768421052631581,Downtown/North End/West End/Chinatown/Beacon Hill
75,18,3.1415000000000006,42.363262999999904,-71.0550768,17,18.479411764705887,Downtown/North End/West End/Chinatown/Beacon Hill
76,19,0.043,42.362702899999896,-71.0560008,3,1.4333333333333333,Downtown/North End/West End/Chinatown/Beacon Hill
77,20,7.493200000000002,42.36580509999987,-71.0600711,57,13.145964912280705,Downtown/North End/West End/Chinatown/Beacon Hill
78,21,0.1588,42.36355489999987,-71.0641077,5,3.1759999999999997,Downtown/North End/West End/Chinatown/Beacon Hill
79,22,3.1423000000000005,42.36485779999985,-71.0621291,22,14.283181818181822,Downtown/North End/West End/Chinatown/Beacon Hill
80,23,1.291,42.365197699999875,-71.0607857,4,32.275,Downtown/North End/West End/Chinatown/Beacon Hill
